,ENTITY1,RELATION,ENTITY2,ADDITIONAL,VECTOR,LABEL,NEW_RELATION
385,Helm, smote,Freca,,"[-0.14282857  0.03423011  0.19667873  0.08184179 -0.05413549 -0.4064267
  0.13611923  0.54179174 -0.11656218 -0.24818404  0.00423151 -0.29338348
  0.03630967 -0.04860931 -0.09637138  0.04410183  0.1250363  -0.2946946
 -0.1358136  -0.3469291   0.03631602 -0.07418791  0.15080011 -0.21894349
 -0.05802098  0.08671231 -0.08042122 -0.10143658 -0.1347573   0.00136531
  0.17367673 -0.07510682  0.12258311 -0.10081556  0.05095778 -0.03251184
  0.06603456 -0.04842129  0.00492481 -0.17944278  0.08220605 -0.04794969
 -0.00776078 -0.05491119  0.10866084  0.13581933 -0.27682087  0.18441997
 -0.05428407  0.15336178 -0.06969878 -0.23214866  0.02005417  0.03824921
 -0.22526135  0.19892295  0.04298651 -0.17772433 -0.18516214  0.0781452
 -0.06666902  0.0221163   0.00244797 -0.0039275  -0.19339631  0.12310198
  0.01680758  0.20000692  0.02895018  0.1868324   0.20213404  0.02901164
  0.34772068  0.13234648  0.05004251 -0.03781759  0.3717346  -0.22897808
 -0.13534977  0.06108123 -0.11165508 -0.03237559 -0.05646844 -0.03681301
 -0.07438718 -0.12730262 -0.017944    0.09499873  0.104929    0.0012817
  0.21492465  0.19084512 -0.04679842  0.20896989  0.21842197  0.2623341
  0.1671564  -0.24754867  0.03108905  0.07833792]",-1,thoughts
386,Corsairs, attacked,Gondor,,"[-0.06920723  0.08876486  0.12666208  0.03588866 -0.00653119 -0.21313971
 -0.00797703  0.25374523 -0.05606826 -0.10633597  0.00452263 -0.08639924
  0.01684591 -0.02536179 -0.02271386  0.03435577 -0.00322513 -0.1135353
 -0.14079998 -0.24085766  0.03079757 -0.04744598  0.09109547 -0.06451368
  0.07408056  0.08068441 -0.00981264 -0.04053466 -0.09102885  0.04293169
  0.12716033 -0.01569608  0.16407484 -0.06528156  0.03200093  0.04252618
 -0.00913873 -0.0878966   0.0369899  -0.183156   -0.02817844 -0.03172573
  0.00081077 -0.07682718  0.01341803 -0.04566414 -0.14542097  0.11671311
 -0.04568868  0.1662351   0.00495155 -0.11382367 -0.03889637 -0.04392395
 -0.01613206  0.08500997  0.00851875 -0.09878399 -0.11920983 -0.00279773
 -0.00406207  0.05603207  0.00163347  0.00030987 -0.12072     0.07051814
  0.07053357  0.10024416 -0.09414966  0.15409459  0.08965624  0.06971137
  0.13214326  0.06703506  0.02527932  0.00430408  0.08513048 -0.13162091
 -0.08766238  0.02776221  0.0653555  -0.00107368 -0.11309524  0.08248013
 -0.06814178 -0.0515107  -0.05004577  0.03113917  0.05952363  0.03039819
  0.10556892 -0.00342979 -0.01278467  0.07524537  0.2309609   0.13547629
  0.04578631 -0.15629499 -0.06269771 -0.01604165]",-1,thoughts
387,Wulf, took,Edoras,,"[-0.265381    0.5152264   0.1886897   0.06471781  0.05742918 -0.799165
  0.21635722  1.3509287  -0.41840842 -0.5868111  -0.43016177 -0.77274394
 -0.02883528 -0.15327004 -0.11868478 -0.45105052 -0.10884152 -0.44775748
  0.20810536 -0.36101317  0.00224372  0.05260048  0.25556764 -0.47404793
 -0.50557846  0.18220347 -0.0285186  -0.41462812 -0.17654444 -0.00276554
  0.30994895 -0.9651989   0.36591882 -0.46977293 -0.0160471   0.68803596
  0.857407   -0.01703842 -0.51426846 -0.05854168  0.4257365  -0.2635918
 -0.5726514   0.3286134   0.49749333  0.467386   -0.83948976 -0.32258168
  0.29669964  0.02104565  0.02452743 -0.81336176  1.0393522   0.3430585
 -0.35375887  0.59784895  0.37101513 -0.5088792  -0.13125874  0.310623
 -0.02000977 -0.47445104 -0.0201321   0.10070994 -0.6474516   0.46066535
  0.18069208  0.76252717 -0.16307274  0.80748683  0.41195172  0.16705373
  1.201591    0.5091358   0.3667493   0.06810857  0.5285722  -0.05573885
 -0.08295218  0.0872965  -0.95926654 -0.12608992 -0.29911336 -0.12643908
 -0.43092284 -0.48583648  0.18526421  0.19455752  0.3690608  -0.18771069
  0.84152544  0.58720255 -0.26911622  0.16879717 -0.06684247  0.3930829
  0.29846963 -0.00793981  0.43331555  0.4515157 ]",8,took
388,Dunharrow, surprised,Wulf,,"[-0.1072849   0.2607566   0.03133152 -0.13833727  0.04722869 -0.23139474
 -0.07987402  0.25164887 -0.06941118 -0.0584458  -0.06987961 -0.1388274
 -0.03711266 -0.07583995  0.02813161 -0.02333086 -0.03472336 -0.15731622
 -0.14733104 -0.2650557   0.16409257 -0.08534372 -0.01241023 -0.11926594
 -0.14238507  0.04921478 -0.02546522 -0.07344236 -0.12325992 -0.05052172
  0.23766275 -0.07857982  0.12434328 -0.07013729 -0.02061027  0.05353364
  0.02740028  0.06807408  0.01608418 -0.11181375  0.02121495 -0.1353596
 -0.00155198 -0.05452511  0.11551268 -0.05617499 -0.04371258  0.07464648
  0.08717154  0.24228354 -0.00656358 -0.08702161  0.12035073 -0.02948387
 -0.02770471  0.0800624   0.02291519  0.05082089 -0.03788419 -0.05173736
  0.04275798  0.03619686  0.15210675  0.03934078  0.00806708 -0.04741756
  0.10121519  0.13960129 -0.07430443  0.25599417  0.07985979  0.13179365
  0.23905584 -0.01864286  0.18558265  0.08200848 -0.0801758  -0.05294966
 -0.09263529  0.00555668 -0.05920786 -0.12123568 -0.18798883  0.18109499
 -0.01311659 -0.09215589 -0.02907668  0.0496765   0.1294064   0.17467597
  0.09672804  0.10469553  0.15808298 -0.03234182  0.21711823  0.09606905
 -0.01449972 -0.14140418  0.04790526  0.01680197]",-1,thoughts
389,Beren, held,Isengard,,"[-1.38079017e-01  4.54879850e-01  5.29205680e-01  9.31784213e-02
 -4.25986424e-02 -9.61598754e-01  1.79890305e-01  1.31284678e+00
 -3.08182508e-01 -7.21180379e-01 -7.72121251e-02 -8.07699442e-01
  2.86026746e-01  8.37652571e-03 -7.21128955e-02  1.08179629e-01
  1.73061088e-01 -6.33914113e-01 -4.15508181e-01 -9.62015569e-01
  2.35139638e-01 -2.65562028e-01  2.83614218e-01 -3.48981678e-01
 -2.50912786e-01  3.78393233e-01  3.66856088e-03 -4.96184289e-01
 -3.14244926e-01 -9.68997255e-02  5.36900461e-01 -4.12659258e-01
  5.81758797e-01 -3.54347914e-01  1.18159354e-01  2.37198234e-01
  3.47662628e-01 -8.32905918e-02 -1.80019051e-01 -4.20668900e-01
  9.75363329e-02 -3.21243137e-01 -2.98936218e-01  1.97973736e-02
  1.47611886e-01  3.93320918e-01 -7.78048813e-01  1.72536179e-01
 -1.21173874e-01  4.59793359e-01 -1.23779193e-01 -7.34665871e-01
  1.66376874e-01  2.87508555e-02 -1.54776737e-01  4.84418869e-01
  1.34927273e-01 -4.65616822e-01 -2.89217919e-01  2.23533407e-01
 -1.51239216e-01 -2.76683569e-01  1.62722468e-01  2.08273828e-01
 -7.40226686e-01  2.71807373e-01  1.55679971e-01  4.50271338e-01
 -1.09887071e-01  6.75969005e-01  5.09776354e-01  2.61796862e-01
  8.82846177e-01  4.31555122e-01  2.32547373e-01  8.62799212e-02
  7.01668084e-01 -4.39618319e-01 -3.44764560e-01  5.16716652e-02
 -2.73250222e-01 -1.58269182e-01 -4.31843311e-01 -5.79294823e-02
 -2.29078025e-01 -2.70556539e-01  1.01460563e-03  1.69389009e-01
  3.49136055e-01  1.08743377e-01  5.22476256e-01  3.25542182e-01
 -4.09472100e-02  5.80994487e-01  2.07772329e-01  4.77926821e-01
  3.33336294e-01 -2.61534780e-01  2.15032175e-01  1.78992525e-01]",30,held
390,Thengel, wedded,Morwen,,"[-5.19784838e-02  4.07777317e-02  5.23922257e-02  3.76409926e-02
 -3.31024639e-02 -1.78335249e-01  4.73448448e-02  2.21050173e-01
 -9.72787216e-02 -8.53195786e-02 -1.52618410e-02 -9.65295210e-02
 -6.29573362e-03 -4.36690897e-02 -6.17707446e-02 -3.17759737e-02
  4.85412553e-02 -1.52842984e-01 -1.06349647e-01 -1.99505016e-01
  3.41003984e-02  4.59657889e-03  7.28499368e-02 -1.25224456e-01
 -2.46156380e-02  3.24198157e-02 -1.62448362e-02 -3.15138809e-02
 -8.80299881e-02  2.99506951e-02  1.37687489e-01 -4.71333973e-02
  7.47301355e-02 -6.15153909e-02 -1.77945569e-02  3.51087190e-02
 -1.07275974e-02 -1.82113685e-02  9.41643957e-03 -1.24965191e-01
  1.96302552e-02 -2.46173479e-02 -2.70683821e-02 -9.60573368e-03
  7.82914683e-02 -2.97190286e-02 -9.96568501e-02  9.32038054e-02
  8.40434711e-03  1.12339258e-01 -2.75571104e-02 -8.46428424e-02
  1.94178522e-02  1.70123838e-02 -1.17587194e-01  9.70831737e-02
 -7.20184157e-03 -8.06621313e-02 -1.12051316e-01  1.23176752e-02
 -1.83007360e-05  4.68928292e-02  2.10205037e-02 -5.67214005e-02
 -9.80901793e-02  8.91405791e-02  3.72123495e-02  1.22094885e-01
 -5.83266877e-02  1.26418710e-01  7.23302439e-02  9.62340757e-02
  1.59234181e-01  2.06436216e-05  4.24434245e-02  2.06059404e-02
  1.21119484e-01 -5.04488796e-02 -4.02552895e-02  3.43275480e-02
 -1.55279543e-02 -6.50966680e-03 -1.01086684e-01  5.58279529e-02
 -4.01520319e-02 -1.04394570e-01 -4.52801622e-02  6.00061845e-03
  7.93244690e-02  2.97096074e-02  8.59630555e-02  1.04032569e-01
  1.30258547e-03  3.68383788e-02  1.54443219e-01  1.20582670e-01
  9.96315759e-03 -1.62185818e-01  3.43811065e-02  5.34977950e-02]",60,wedded
391,Rohirrim, recalled,Thengel,,"[-0.06887682  0.09375969  0.07251259  0.01437646 -0.00471356 -0.24593146
  0.02786916  0.3176147  -0.12360246 -0.11025907 -0.08267932 -0.15875281
  0.02249124 -0.06318439 -0.05883498 -0.06544279  0.02825962 -0.21155308
 -0.09315    -0.27246732  0.09877906  0.03087163  0.07996926 -0.13983542
 -0.04546446  0.05725023 -0.02341639 -0.08098207 -0.09915363  0.07992335
  0.21988869 -0.11053005  0.07790058 -0.09218825 -0.01400236  0.10379688
 -0.0077811   0.00285621 -0.02680245 -0.15060215  0.07185949 -0.10283511
 -0.02606434  0.01948393  0.11513035 -0.02467967 -0.13246594  0.03109575
  0.00813159  0.13573083 -0.04385349 -0.15598239  0.09058065  0.02889301
 -0.13697758  0.15458299 -0.00074593 -0.02638557 -0.11716501 -0.01216514
  0.01576678 -0.00688228  0.04579457 -0.03614951 -0.11359744  0.09973978
  0.0648515   0.16682702 -0.04577836  0.19485979  0.08670902  0.1123348
  0.22729869  0.04775855  0.07864644  0.07992965  0.10893527 -0.06555144
 -0.05955185  0.04864243 -0.09490255 -0.07590785 -0.13106576  0.04552093
 -0.06225921 -0.14204964 -0.04524135  0.06341798  0.08161518  0.02285307
  0.12223036  0.12590916  0.00112725  0.05364916  0.17163345  0.12913112
  0.04197973 -0.17866388  0.04686003  0.06987787]",26,recalled
392,Morwen, bore,Thengel,,"[-0.34576517 -0.05898616  0.38434204  0.10472757 -0.16739543 -0.80365115
  0.3357105   1.0415936  -0.53870964 -0.4415543  -0.18800357 -0.6341657
  0.18409805 -0.14217974 -0.19889662  0.07390682  0.2582213  -0.63273585
 -0.3622584  -0.9147292   0.19787258 -0.02798725  0.41050744 -0.5272238
 -0.11495794  0.41921306 -0.05882969 -0.17627203 -0.35353595  0.14142379
  0.5344381  -0.13024917  0.5222403  -0.26879576 -0.00609472  0.08261481
  0.07486746 -0.33707178 -0.23552087 -0.44604027  0.03057355 -0.18446589
 -0.19770196  0.00807133  0.35380062  0.01010411 -0.62058705  0.1428113
  0.12367535  0.4694067  -0.09664039 -0.54635787  0.20351297  0.0124217
 -0.3387781   0.5262764  -0.05953338 -0.3316967  -0.43991283  0.25209004
 -0.02180421 -0.13394687 -0.01404544  0.00635009 -0.5876302   0.39549965
  0.03554699  0.41576356 -0.0517041   0.7601435   0.39498198  0.2823464
  0.80693614  0.0978321   0.21402422  0.07938766  0.7979336  -0.37410057
 -0.27159068  0.24643613 -0.34110612 -0.06792217 -0.4095638   0.1633065
 -0.26931602 -0.38551563 -0.07493109  0.10076232  0.321351   -0.00995092
  0.57695615  0.4374674  -0.06916778  0.2232577   0.45719808  0.5857451
  0.33397812 -0.57388306  0.08111411  0.265066  ]",44,bore
393,Saruman, declared,Saruman Lord,,"[-0.04504082  0.03023796  0.08095472 -0.01138092  0.0040207  -0.14105974
  0.03533842  0.18133192 -0.15926825 -0.08384568 -0.01776087 -0.07161076
 -0.01401271 -0.06537797  0.00544339 -0.03068382 -0.01990259 -0.08938167
 -0.14956307 -0.12509571  0.00074345  0.02885076  0.05069867 -0.0558157
 -0.02732006  0.02871276 -0.03321243  0.00470862 -0.01146874  0.05090661
  0.10171094 -0.04636599  0.06706625 -0.07639388 -0.0123682   0.05463466
  0.02371805 -0.01417405 -0.07420319 -0.07160627 -0.05021353 -0.05205518
 -0.03748671  0.0397793   0.10401446 -0.01370922  0.00570245  0.01353953
  0.01091267  0.0995713  -0.01275174 -0.04201822  0.02355154  0.00771068
 -0.06424988  0.07236289 -0.00289568 -0.0402398  -0.06241336  0.0211645
 -0.01034398  0.0144142   0.07222811 -0.01833621 -0.10066328  0.06508265
  0.06914698  0.13645096 -0.07875065  0.09640825 -0.00554099  0.05912415
  0.0678303   0.00922387  0.02901926  0.01847389  0.04219058 -0.0074857
 -0.0120672  -0.0297356  -0.01463263  0.01314058 -0.11166298 -0.01537058
 -0.04164513 -0.03849317 -0.05777728  0.01006305  0.10467981  0.00153211
  0.01848711  0.06742229 -0.03016395 -0.03229097  0.13025787  0.01717875
 -0.02571473 -0.08392922  0.03166251  0.00125452]",-1,thoughts
394,Théodwyn, married,Éomund,,"[-0.04889883  0.06669681 -0.00321704 -0.01622775  0.01047002 -0.17385925
  0.01448684  0.21502154 -0.05799188 -0.06950901 -0.06025923 -0.08581428
 -0.01859333 -0.03376299 -0.01619801 -0.07105196 -0.0050542  -0.14512807
 -0.04493707 -0.17477104  0.08566786  0.00669844  0.05693252 -0.11593524
 -0.0431614   0.01038859 -0.01763616 -0.07109641 -0.06581175  0.01571231
  0.16942605 -0.07403173  0.03373845 -0.02610547  0.00149229  0.07914913
 -0.0093357   0.01022644  0.0073392  -0.08667114  0.08378646 -0.05632111
 -0.00644935 -0.02953771  0.09207849 -0.03094944 -0.08690629  0.04513697
  0.01004587  0.10914689  0.00060957 -0.09492073  0.08931717  0.00690169
 -0.08804809  0.11995728  0.01161539  0.00896554 -0.10715128 -0.02216754
  0.02390444  0.0379254   0.03144856 -0.05016427 -0.05829964  0.06037023
  0.03862809  0.0949927  -0.04294144  0.10499085  0.06438666  0.06957508
  0.15608718  0.01574559  0.06456091  0.05885582  0.05551064 -0.02413401
 -0.03965365  0.05020291 -0.08457189 -0.04389433 -0.08484113  0.07623063
 -0.02403069 -0.09776212 -0.02832201  0.04610367  0.0551454   0.01174877
  0.10300312  0.09405903  0.0282633   0.01367998  0.12910135  0.09154278
 -0.00461755 -0.16237801  0.02563764  0.05219498]",62,married
395,Lady, succeeded,Théoden Lady,,"[-9.04149283e-03  1.24216855e-01  5.90884052e-02  3.51061188e-02
 -3.96259502e-02 -2.53236830e-01  3.84498923e-03  2.95822501e-01
 -9.51027498e-02 -1.13761492e-01  1.46498503e-02 -1.07356489e-01
 -4.76638265e-02 -8.80203322e-02 -8.76077265e-02 -1.03564560e-01
  2.21283808e-02 -2.57193476e-01 -1.53832212e-01 -2.99098790e-01
  9.93581489e-02 -1.51695265e-02  5.11732996e-02 -1.65878817e-01
 -4.97841090e-02  4.25795838e-02 -2.20834729e-04 -7.18087554e-02
 -7.92023987e-02  9.03624669e-02  2.52227455e-01 -1.28402680e-01
  1.35304019e-01 -9.95902121e-02 -4.93946932e-02  7.24568143e-02
 -5.26880752e-03  5.02324961e-02  9.63807292e-03 -1.77053735e-01
 -1.10947131e-03 -8.41845348e-02 -4.75681461e-02  1.31538548e-02
  1.18139572e-01 -4.18435186e-02 -8.18532258e-02  1.12914614e-01
  5.15806722e-03  1.95737660e-01 -9.58315209e-02 -6.23035580e-02
  3.25299241e-02  3.51584032e-02 -1.33331686e-01  6.64314032e-02
 -5.28955832e-03 -1.21935643e-01 -1.35818928e-01 -3.55895869e-02
 -2.99429800e-03  2.75376718e-02  6.09960780e-02 -1.00616276e-01
 -1.77009165e-01  9.91223007e-02  1.23024270e-01  1.94677621e-01
 -1.13474838e-01  1.68404043e-01  1.14833683e-01  1.54357672e-01
  1.71751723e-01 -2.25421768e-02  1.21319816e-01  9.90781039e-02
  1.01399399e-01 -1.53027382e-02 -1.00213446e-01  2.33317371e-02
  3.45305772e-03 -3.66979167e-02 -1.36742577e-01  4.51123454e-02
 -6.23506978e-02 -1.88456759e-01 -1.52782351e-01  5.56112938e-02
  1.30077705e-01  9.73916203e-02  6.98736459e-02  1.66142508e-01
  1.22415181e-02  6.95408359e-02  2.13786915e-01  1.42398745e-01
 -3.76956165e-02 -2.06274375e-01  1.11494675e-01  1.07192203e-01]",63,succeeded
396,Lady, save,Aldor,,"[-2.41409719e-01  4.03437197e-01  2.13458896e-01 -4.53883350e-01
  5.23427278e-02 -5.86997867e-01 -4.03654948e-02  4.79703605e-01
 -7.08508253e-01 -2.54413664e-01 -2.22051889e-01 -3.40768784e-01
  3.10640782e-01 -2.66900182e-01  1.58637017e-01 -9.86210555e-02
 -5.38996272e-02 -4.67993528e-01 -4.88306016e-01 -1.01148391e+00
  4.26770717e-01  2.12161243e-02  7.80359730e-02 -2.49543011e-01
 -1.16151355e-01  4.31111932e-01  2.89158747e-02  1.42447464e-02
 -9.90651995e-02  1.35264218e-01  8.39522779e-01 -1.33402437e-01
  6.12666726e-01 -3.35343122e-01 -1.66328788e-01  2.89368808e-01
  6.35220036e-02 -2.22916275e-01 -5.04133463e-01 -3.68553579e-01
 -4.62262988e-01 -3.47175866e-01 -1.38125047e-01 -8.01637303e-03
  3.47591221e-01 -5.27149618e-01 -2.16458708e-01 -3.20970356e-01
  3.45571220e-01  8.32824111e-01 -1.33298680e-01 -2.91794300e-01
  1.36414886e-01 -5.09781055e-02  1.53048456e-01  1.78234428e-01
 -1.74262330e-01  7.68443346e-02 -1.27697527e-01  8.18264708e-02
 -7.26990052e-04 -2.43275285e-01  4.84429657e-01  1.91508606e-01
 -5.06952822e-01  2.85725325e-01  2.12082446e-01  2.90046602e-01
 -4.53928024e-01  8.54127884e-01 -5.06194867e-02  8.36082399e-01
  3.81071448e-01 -2.31864303e-01  5.21693885e-01  2.14070246e-01
 -1.05002314e-01  1.16746858e-01 -3.02507460e-01  8.55037272e-02
 -3.46805751e-01 -1.74454227e-01 -9.22246814e-01  5.46515942e-01
 -1.88125834e-01 -3.83290052e-01 -8.23536813e-02  1.48027077e-01
  3.46509725e-01  1.86376616e-01  2.97540635e-01  2.14473993e-01
  3.05700094e-01 -2.28185013e-01  5.65612733e-01  1.27090991e-01
 -1.63010284e-01 -3.15952361e-01  1.72883347e-01  2.88584083e-01]",65,save
397,Third Age Lady, wedded,Lothíriel,,"[-5.19784838e-02  4.07777317e-02  5.23922257e-02  3.76409926e-02
 -3.31024639e-02 -1.78335249e-01  4.73448448e-02  2.21050173e-01
 -9.72787216e-02 -8.53195786e-02 -1.52618410e-02 -9.65295210e-02
 -6.29573362e-03 -4.36690897e-02 -6.17707446e-02 -3.17759737e-02
  4.85412553e-02 -1.52842984e-01 -1.06349647e-01 -1.99505016e-01
  3.41003984e-02  4.59657889e-03  7.28499368e-02 -1.25224456e-01
 -2.46156380e-02  3.24198157e-02 -1.62448362e-02 -3.15138809e-02
 -8.80299881e-02  2.99506951e-02  1.37687489e-01 -4.71333973e-02
  7.47301355e-02 -6.15153909e-02 -1.77945569e-02  3.51087190e-02
 -1.07275974e-02 -1.82113685e-02  9.41643957e-03 -1.24965191e-01
  1.96302552e-02 -2.46173479e-02 -2.70683821e-02 -9.60573368e-03
  7.82914683e-02 -2.97190286e-02 -9.96568501e-02  9.32038054e-02
  8.40434711e-03  1.12339258e-01 -2.75571104e-02 -8.46428424e-02
  1.94178522e-02  1.70123838e-02 -1.17587194e-01  9.70831737e-02
 -7.20184157e-03 -8.06621313e-02 -1.12051316e-01  1.23176752e-02
 -1.83007360e-05  4.68928292e-02  2.10205037e-02 -5.67214005e-02
 -9.80901793e-02  8.91405791e-02  3.72123495e-02  1.22094885e-01
 -5.83266877e-02  1.26418710e-01  7.23302439e-02  9.62340757e-02
  1.59234181e-01  2.06436216e-05  4.24434245e-02  2.06059404e-02
  1.21119484e-01 -5.04488796e-02 -4.02552895e-02  3.43275480e-02
 -1.55279543e-02 -6.50966680e-03 -1.01086684e-01  5.58279529e-02
 -4.01520319e-02 -1.04394570e-01 -4.52801622e-02  6.00061845e-03
  7.93244690e-02  2.97096074e-02  8.59630555e-02  1.04032569e-01
  1.30258547e-03  3.68383788e-02  1.54443219e-01  1.20582670e-01
  9.96315759e-03 -1.62185818e-01  3.43811065e-02  5.34977950e-02]",60,wedded
398,Elessar, fulfilled,Oath,,"[-2.15098280e-02  4.72873785e-02  3.79936434e-02 -2.88139395e-02
  4.62087840e-02 -1.16255574e-01 -4.31009717e-02  1.06845476e-01
 -1.01691298e-01 -3.83167602e-02 -3.28356810e-02 -4.77250963e-02
 -2.64612795e-03 -3.24011520e-02  4.27234098e-02 -1.16619226e-02
 -4.14981097e-02 -1.00467779e-01 -9.69054177e-02 -1.49635091e-01
  5.77731207e-02  3.78345288e-02 -1.56958087e-03 -2.74636094e-02
 -3.20996158e-03  3.08718476e-02 -1.81614980e-02  2.28541177e-02
 -1.09143402e-04  2.87351143e-02  1.25937626e-01 -9.67110600e-03
  1.60430390e-02 -2.58934051e-02 -1.12283602e-02  6.46096766e-02
 -4.06595180e-03  3.52383368e-02 -3.18963230e-02 -7.35639110e-02
 -3.02167740e-02 -5.87991402e-02  1.97188817e-02 -9.10216384e-03
  4.78167385e-02 -5.85878864e-02 -1.88356154e-02  1.79333203e-02
 -3.43276970e-02  8.89734253e-02  1.15942385e-03 -1.70496479e-02
 -7.15845311e-03  2.70224502e-03 -4.26457264e-02  2.51992811e-02
 -2.72883829e-02 -2.30923854e-03 -3.61280963e-02 -3.41677144e-02
 -2.23557092e-03  3.53951566e-02  6.42003864e-02 -1.03015108e-02
 -5.89082651e-02  2.18089037e-02  7.23673329e-02  8.79683271e-02
 -6.38014078e-02  9.19954181e-02 -1.06305834e-02  6.40371293e-02
  1.20855169e-02  1.34055382e-02  4.32713404e-02  4.66965809e-02
 -3.73513736e-02  2.21554153e-02 -2.54021008e-02  7.49062572e-04
 -3.76030011e-03 -2.01491695e-02 -1.03398845e-01  1.23138754e-02
 -8.10797233e-03 -8.53828713e-03 -5.39949089e-02  3.42527479e-02
  8.05632472e-02  1.50487470e-02 -5.38986060e-04  6.30169138e-02
  2.07179449e-02 -6.49153953e-03  1.20321557e-01  1.75566660e-04
 -4.60564084e-02 -9.66359228e-02  2.15064120e-02 -1.60214193e-02]",-1,thoughts
399,Misty Mountains Eldar, made,Eldar,,"[-1.01698622e-01  7.62004137e-01  4.96288031e-01 -5.49375117e-01
 -1.00852765e-01 -9.05728221e-01 -2.11369917e-01  1.03155565e+00
 -1.65524438e-01 -3.24779779e-01 -1.79751158e-01 -4.15708572e-01
  4.85871315e-01 -2.91300744e-01  2.95344144e-01  1.69261619e-01
 -2.14402169e-01 -9.38558757e-01 -8.49216461e-01 -1.52197587e+00
  1.05310571e+00 -2.59001523e-01 -7.71118328e-02  4.92801070e-02
 -3.28654289e-01  8.51865530e-01  8.83752182e-02 -6.36054933e-01
  4.92526256e-02  1.64342076e-01  9.34479833e-01 -1.30213290e-01
  9.48653281e-01 -2.80268043e-01 -4.84206825e-02  7.04929292e-01
 -2.73854788e-02 -3.42612624e-01 -7.15475082e-01 -3.56387436e-01
 -3.82311285e-01 -9.98443305e-01 -3.19843531e-01 -3.24605890e-02
  4.84950185e-01 -5.31079352e-01 -4.31316197e-02 -6.16993070e-01
  2.22583249e-01  1.50972509e+00 -2.61261463e-01 -3.40196937e-01
 -2.31425658e-01 -1.33161619e-01  8.33173811e-01  2.74641067e-01
 -1.02047801e-01  1.88227206e-01  9.89462286e-02  1.40630901e-02
  2.94861700e-02 -6.10115886e-01  8.07706594e-01  3.59100372e-01
 -6.29347920e-01 -1.15358599e-01  5.56841969e-01  1.30287528e-01
 -3.52677613e-01  1.07728302e+00 -2.86598951e-02  6.81720972e-01
  2.15978757e-01  2.20657021e-01  5.66808939e-01  8.51055801e-01
 -3.77875388e-01 -2.13089287e-01 -6.55761182e-01 -1.60962780e-04
  6.07457608e-02 -2.93680191e-01 -9.12958145e-01  5.78361511e-01
 -5.19793689e-01 -1.02130711e-01 -4.67825741e-01  4.63883072e-01
  4.15411711e-01  7.84444749e-01 -1.95356533e-02 -4.21771454e-03
  4.00883108e-01  7.88111910e-02  2.26725161e-01 -8.17576796e-02
  1.41323850e-01  1.58750936e-02  1.01296112e-01 -1.06289670e-01]",18,made
400,Nár, begged,Thráin,,"[-0.00259852  0.11683898  0.02093658  0.02844366 -0.00638041 -0.16697441
  0.00711806  0.22290899 -0.04861541 -0.05348543 -0.04050068 -0.0878488
 -0.02534772 -0.0496997  -0.02894825 -0.08086234 -0.02203485 -0.09139144
 -0.05120592 -0.11085589  0.10386778  0.03617819  0.03830289 -0.10295001
  0.01033881  0.03022123  0.01170909 -0.04487817 -0.03653174  0.03590193
  0.14247443 -0.11050307  0.05145418 -0.08267719 -0.00173787  0.1249141
  0.05935199 -0.00644505 -0.02234267 -0.10378972  0.0613081  -0.09336125
 -0.06708757  0.01011581  0.08429872 -0.02717895 -0.1099761   0.00227057
 -0.01883701  0.07953539  0.03027702 -0.08548473  0.08718535  0.01359217
 -0.06240987  0.09823499  0.03736826 -0.03440307 -0.08366496 -0.01684859
  0.01654518  0.02531537  0.00244938 -0.06250251 -0.07525706  0.04910282
  0.07991891  0.16019118 -0.07090652  0.14117801  0.05438611  0.07696839
  0.15752907  0.04816377  0.06950949  0.0776566  -0.00909897 -0.00870801
 -0.03254253  0.03509904 -0.08905053 -0.04455394 -0.09707057  0.03646873
 -0.06887763 -0.10051327 -0.03599362  0.00737013  0.05649078  0.02737158
  0.09757397  0.07305497  0.00068149  0.00360209  0.11692825  0.09246811
 -0.01641697 -0.10559733  0.02077791  0.04441566]",-1,thoughts
401,Fundin, caught,Azog,,"[-0.31037563  0.28451878  0.3848675  -0.18571277 -0.09184455 -1.0365775
  0.21063577  1.3465731  -0.08491786 -0.53772473 -0.10563786 -0.66317576
  0.03188302 -0.02034191 -0.14575112  0.22692272  0.15640195 -0.76274484
 -0.3946872  -0.99278724  0.37662387 -0.39166778  0.20840421 -0.40789428
 -0.37061417  0.33524355 -0.15480444 -0.6099343  -0.26649567 -0.12498832
  0.47712812 -0.19047952  0.5604397  -0.16358502  0.13044848  0.03077105
  0.02999812 -0.08081912 -0.06228628 -0.27538928  0.20211466 -0.3828048
 -0.04438376 -0.12237475  0.2911497   0.22654954 -0.42149982  0.22953011
  0.13211854  0.7970385  -0.09617412 -0.41365892  0.32073617  0.02942709
 -0.02794166  0.43172425  0.12385621 -0.18117666 -0.31595358  0.1583804
 -0.09657884 -0.13672309  0.18298893  0.23483779 -0.44006532  0.09983496
  0.13350919  0.31396148  0.19494657  0.66118795  0.5144103  -0.01978839
  0.8039747   0.25519434  0.32496035  0.13799115  0.5950374  -0.48098862
 -0.33716425  0.14637625 -0.27640975 -0.08572996 -0.29005623  0.10355239
 -0.16513436 -0.09673951 -0.02212076  0.30245832  0.30926076  0.32729933
  0.46583715  0.31193733  0.14089398  0.38848972  0.31921878  0.43996543
  0.3642407  -0.37813672  0.08637336  0.13240387]",4,caught
